category,domain,auroc,n_images,n_normal,n_anomaly,detector_hash,evaluation_seconds
bottle,dark,0.5349206349206349,83,20,63,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6,2.30240860000049
bottle,mirnetv2,0.6777777777777777,83,20,63,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6,2.2018900999973994
bottle,icra,0.6531746031746032,83,20,63,5368ac52541f26ba477615354f5e08c9d153fa7b3faf938e8ef4afffb2d8f0b6,2.1575760999985505
cable,dark,0.4353448275862069,150,58,92,d287de038ae0503acef12bd2890a0cb0aa187840100a094eea6ed814fa1cb8d7,5.13783539999713
cable,mirnetv2,0.450712143928036,150,58,92,d287de038ae0503acef12bd2890a0cb0aa187840100a094eea6ed814fa1cb8d7,5.190950999996858
cable,icra,0.48819340329835076,150,58,92,d287de038ae0503acef12bd2890a0cb0aa187840100a094eea6ed814fa1cb8d7,5.075473800003238
capsule,dark,0.5277223773434384,132,23,109,ff0f0b14186344445742999a369fab68464409efb134fef75bdb426283270e9d,4.365837800003646
capsule,mirnetv2,0.49421619465496613,132,23,109,ff0f0b14186344445742999a369fab68464409efb134fef75bdb426283270e9d,4.131501800002297
capsule,icra,0.44036697247706424,132,23,109,ff0f0b14186344445742999a369fab68464409efb134fef75bdb426283270e9d,4.349194100002933
carpet,dark,0.6617174959871589,117,28,89,15b7bcc6e5cb8ed7fff7a2e42eb2db2385dda5fd277743feb1ed277bdb41190d,4.231937399999879
carpet,mirnetv2,0.6079454253611556,117,28,89,15b7bcc6e5cb8ed7fff7a2e42eb2db2385dda5fd277743feb1ed277bdb41190d,4.199883099994622
carpet,icra,0.6015248796147672,117,28,89,15b7bcc6e5cb8ed7fff7a2e42eb2db2385dda5fd277743feb1ed277bdb41190d,4.057435700000497
grid,dark,0.3801169590643275,78,21,57,4c860a56fb4b1a7a5d90573f30f730f73c83b716af3b05a478c47525dcf779b2,2.7137985000008484
grid,mirnetv2,0.4277360066833751,78,21,57,4c860a56fb4b1a7a5d90573f30f730f73c83b716af3b05a478c47525dcf779b2,2.671342400004505
grid,icra,0.36675020885547205,78,21,57,4c860a56fb4b1a7a5d90573f30f730f73c83b716af3b05a478c47525dcf779b2,2.676608200003102
hazelnut,dark,0.5607142857142857,110,40,70,f3e6e641daaac78384b27cf36a836cbb168a060799de8c91a92216bae0002ade,3.59533470000315
hazelnut,mirnetv2,0.45035714285714284,110,40,70,f3e6e641daaac78384b27cf36a836cbb168a060799de8c91a92216bae0002ade,3.860766199999489
